depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
363.0,569.0,206.0,2858.96,0.0,33.45,veh_passenger,1,0.0,11.05
347.0,570.0,223.0,2116.26,46.0,77.32,veh_passenger,1,0.0,9.62
55.0,571.0,516.0,10456.82,0.0,57.37,veh_passenger,1,0.0,8.01
351.0,571.0,220.0,1823.93,9.0,42.64,bus_bus,1,0.0,8.15
361.0,571.0,210.0,2659.03,3.0,29.15,veh_passenger,1,0.0,15.66
372.0,571.0,199.0,2024.43,4.0,37.36,veh_passenger,1,0.0,7.82
61.0,572.0,511.0,6510.87,56.0,147.02,veh_passenger,1,0.0,7.94
23.0,573.0,550.0,4062.47,182.0,245.34,veh_passenger,1,0.0,17.19
47.0,573.0,526.0,6822.39,1.0,88.04,veh_passenger,1,0.0,3.54
4.0,575.0,571.0,6173.27,23.0,103.7,veh_passenger,1,0.0,7.41
22.0,575.0,553.0,5024.17,96.0,170.09,veh_passenger,1,0.0,6.46
6.0,576.0,570.0,11171.88,44.0,72.69,veh_passenger,1,0.0,25.92
53.0,576.0,523.0,5521.23,71.0,172.58,veh_passenger,1,0.0,8.87
95.0,576.0,481.0,4065.36,58.0,118.97,veh_passenger,1,8.49,7.86
327.0,577.0,250.0,2722.84,1.0,49.99,veh_passenger,1,9.03,14.84
25.0,578.0,553.0,5714.87,78.0,155.33,veh_passenger,1,0.0,7.9
11.0,581.0,570.0,7250.76,2.0,101.96,veh_passenger,1,0.0,7.57
503.0,581.0,78.0,541.87,0.0,8.12,DEFAULT_VEHTYPE,1,0.0,11.79
93.0,583.0,490.0,4420.38,96.0,186.78,veh_passenger,1,0.0,7.61
126.0,583.0,457.0,4200.8,1.0,53.85,veh_passenger,1,0.0,7.38
23.0,586.0,563.0,8021.57,33.0,120.78,veh_passenger,1,0.0,8.05
38.0,587.0,549.0,8731.31,28.0,91.32,veh_passenger,1,7.68,12.45
41.0,587.0,546.0,6063.48,59.0,172.72,veh_passenger,1,0.0,8.67
101.0,588.0,487.0,6227.89,53.0,121.39,veh_passenger,1,0.0,3.52
153.0,588.0,435.0,4058.27,37.0,119.51,veh_passenger,1,8.79,8.66
212.0,588.0,376.0,4483.94,2.0,65.68,bus_bus,1,0.0,8.16
17.0,589.0,572.0,9523.33,26.0,65.12,veh_passenger,1,0.0,10.71
346.0,589.0,243.0,2839.97,0.0,29.61,veh_passenger,1,0.0,8.29
200.0,591.0,391.0,3663.67,41.0,84.76,veh_passenger,1,0.0,6.66
23.0,592.0,569.0,10095.79,7.0,61.79,veh_passenger,1,0.0,7.0
236.0,592.0,356.0,3559.6,30.0,79.47,bus_bus,1,0.0,8.1
9.0,593.0,584.0,7838.44,0.0,88.49,veh_passenger,1,0.0,7.02
208.0,593.0,385.0,5148.96,0.0,82.05,veh_passenger,1,0.0,17.05
350.0,593.0,243.0,1535.05,96.0,149.59,veh_passenger,1,0.0,15.29
409.0,595.0,186.0,1583.61,0.0,16.31,bus_bus,1,0.0,7.82
513.0,595.0,82.0,803.73,0.0,9.61,veh_passenger,1,4.1,12.88
50.0,596.0,546.0,6169.12,17.0,103.48,veh_passenger,1,4.03,7.2
141.0,596.0,455.0,5105.98,0.0,52.61,veh_passenger,1,0.0,7.55
269.0,596.0,327.0,3668.24,17.0,78.93,bus_bus,1,0.0,10.73
82.0,597.0,515.0,6013.86,0.0,52.07,veh_passenger,1,0.0,7.16
419.0,597.0,178.0,1413.94,0.0,18.4,bus_bus,1,8.33,7.93
530.0,597.0,67.0,796.69,0.0,9.23,bus_bus,1,0.0,13.39
56.0,599.0,543.0,5986.49,0.0,74.36,veh_passenger,1,0.0,11.42
213.0,600.0,387.0,4081.13,27.0,72.84,veh_passenger,1,12.1,9.17
68.0,601.0,533.0,10732.51,9.0,40.1,veh_passenger,1,24.3,18.89
520.0,601.0,81.0,541.87,0.0,9.12,DEFAULT_VEHTYPE,1,0.0,12.05
191.0,602.0,411.0,3600.04,76.0,119.23,veh_passenger,1,8.13,13.31
538.0,603.0,65.0,541.87,0.0,7.93,DEFAULT_VEHTYPE,1,0.0,14.05
46.0,604.0,558.0,5845.85,83.0,175.55,veh_passenger,1,0.0,11.69
125.0,604.0,479.0,6830.6,3.0,69.61,veh_passenger,1,0.0,8.76
295.0,605.0,310.0,2827.75,7.0,64.46,bus_bus,1,0.0,8.32
363.0,607.0,244.0,2575.3,0.0,37.82,bus_bus,1,0.0,8.32
