id,depart,arrival,duration,routeLength,waitingTime,timeLoss,vType,rerouteNo,departSpeed,arrivalSpeed
veh4096,1262.0,1804.0,542.0,7722.52,21.0,115.55,veh_passenger,1,0.0,7.66
myflow6.25,1373.0,1804.0,431.0,486.53,356.0,398.11,DEFAULT_VEHTYPE,1,0.0,14.65
veh3894,1200.0,1805.0,605.0,9906.98,14.0,72.64,veh_passenger,1,0.0,8.15
veh4173,1286.0,1806.0,520.0,6190.88,0.0,57.43,veh_passenger,1,0.0,6.54
myflow6.26,1381.0,1806.0,425.0,486.53,350.0,394.26,DEFAULT_VEHTYPE,1,0.0,15.37
bus1554,1437.0,1806.0,369.0,4268.59,6.0,82.99,bus_bus,1,0.0,7.77
veh2818,869.0,1807.0,938.0,10927.64,163.0,373.0,veh_passenger,1,0.0,8.4
myflow1.94,1745.0,1807.0,62.0,541.87,0.0,6.85,DEFAULT_VEHTYPE,1,0.0,12.95
veh4102,1264.0,1808.0,544.0,2819.75,192.0,301.17,veh_passenger,1,0.0,7.35
veh4247,1309.0,1808.0,499.0,6389.37,25.0,138.31,veh_passenger,1,0.0,9.58
myflow6.27,1389.0,1808.0,419.0,486.53,342.0,376.91,DEFAULT_VEHTYPE,1,0.0,11.64
truck3088,1428.0,1808.0,380.0,4679.35,0.0,69.74,truck_truck,1,0.0,8.68
veh4281,1319.0,1809.0,490.0,4896.99,12.0,139.44,veh_passenger,1,0.0,6.82
myflow4.19,1286.0,1809.0,523.0,1833.97,327.0,368.72,DEFAULT_VEHTYPE,1,0.0,8.4
bus1495,1382.0,1810.0,428.0,4188.15,72.0,146.67,bus_bus,1,0.0,8.17
myflow6.28,1397.0,1810.0,413.0,486.53,335.0,379.63,DEFAULT_VEHTYPE,1,0.0,14.92
veh4153,1280.0,1811.0,531.0,4856.72,80.0,195.88,veh_passenger,1,0.0,8.31
myflow6.29,1405.0,1811.0,406.0,486.53,326.0,372.26,DEFAULT_VEHTYPE,1,0.0,14.03
veh4108,1266.0,1812.0,546.0,6906.13,9.0,120.03,veh_passenger,1,0.0,8.26
veh4325,1333.0,1812.0,479.0,4958.3,25.0,150.81,veh_passenger,1,0.0,8.05
veh4472,1378.0,1812.0,434.0,3820.99,105.0,204.07,veh_passenger,1,0.0,10.98
veh352,109.0,1813.0,1704.0,14505.3,735.0,865.72,veh_passenger,1,0.0,5.57
